sep=,
sender,timestamp,longitude,latitude,acc,batt,charge,time,emergency,azimuth,signalStrength,wifiSignalStrength
igudelj@risnjak,2024-06-14 12:07:07+02:00,18.6966,45.549,0,64,0,0,0,318.49167,-200.0,-50.0
rdean@risnjak,2024-06-14 12:07:13+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-72.0,-200.0
kpopovic@risnjak,2024-06-14 12:07:16+02:00,18.6963,45.5487,0,86,0,0,0,140.46844,-200.0,-40.0
igudelj@risnjak,2024-06-14 12:07:17+02:00,18.6966,45.549,0,64,0,0,0,318.7076,-200.0,-50.0
rdean@risnjak,2024-06-14 12:07:23+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-72.0,-200.0
kpopovic@risnjak,2024-06-14 12:07:26+02:00,18.6963,45.5487,0,86,0,0,0,140.44525,-200.0,-40.0
igudelj@risnjak,2024-06-14 12:07:27+02:00,18.6966,45.549,0,64,0,0,0,318.52927,-200.0,-50.0
rdean@risnjak,2024-06-14 12:07:33+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-72.0,-200.0
kpopovic@risnjak,2024-06-14 12:07:36+02:00,18.6963,45.5487,0,86,0,0,0,140.5893,-200.0,-40.0
igudelj@risnjak,2024-06-14 12:07:37+02:00,18.6966,45.549,0,64,0,0,0,318.2955,-200.0,-50.0
rdean@risnjak,2024-06-14 12:07:43+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-72.0,-200.0
kpopovic@risnjak,2024-06-14 12:07:46+02:00,18.6963,45.5487,0,86,0,0,0,140.68793,-200.0,-40.0
igudelj@risnjak,2024-06-14 12:07:47+02:00,18.6966,45.549,0,64,0,0,0,318.55325,-200.0,-50.0
rdean@risnjak,2024-06-14 12:07:53+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-72.0,-200.0
kpopovic@risnjak,2024-06-14 12:07:56+02:00,18.6963,45.5487,0,86,0,0,0,140.50891,-200.0,-40.0
igudelj@risnjak,2024-06-14 12:07:57+02:00,18.6966,45.549,0,64,0,0,0,318.62927,-200.0,-50.0
rdean@risnjak,2024-06-14 12:08:03+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-72.0,-200.0
kpopovic@risnjak,2024-06-14 12:08:06+02:00,18.6963,45.5487,0,86,0,0,0,140.51364,-200.0,-43.0
